Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,235.89999389648438,237.47000122070312,233.14999389648438,236.94000244140625,236.94000244140625,25324000
2021-03-02,237.00999450683594,237.3000030517578,233.4499969482422,233.8699951171875,233.8699951171875,22785500
2021-03-03,232.16000366210938,233.5800018310547,227.25999450683594,227.55999755859375,227.55999755859375,33950400
2021-03-04,226.74000549316406,232.49000549316406,224.25999450683594,226.72999572753906,226.72999572753906,44584200
2021-03-05,229.52000427246094,233.27000427246094,226.4600067138672,231.60000610351562,231.60000610351562,41842100
2021-03-08,231.3699951171875,233.3699951171875,227.1300048828125,227.38999938964844,227.38999938964844,35245900
2021-03-09,232.8800048828125,235.3800048828125,231.6699981689453,233.77999877929688,233.77999877929688,33034000
2021-03-10,237.0,237.0,232.0399932861328,232.4199981689453,232.4199981689453,29733000
2021-03-11,234.9600067138672,239.1699981689453,234.30999755859375,237.1300048828125,237.1300048828125,29896000
2021-03-12,234.00999450683594,235.82000732421875,233.22999572753906,235.75,235.75,22647900
2021-03-15,234.9600067138672,235.19000244140625,231.80999755859375,234.80999755859375,234.80999755859375,26034900
2021-03-16,236.27999877929688,240.05999755859375,235.94000244140625,237.7100067138672,237.7100067138672,27717700
2021-03-17,236.14999389648438,238.5500030517578,233.22999572753906,237.0399932861328,237.0399932861328,29500700
2021-03-18,232.55999755859375,234.19000244140625,230.3300018310547,230.72000122070312,230.72000122070312,34833000
2021-03-19,231.02000427246094,232.47000122070312,229.35000610351562,230.35000610351562,230.35000610351562,46410700
2021-03-22,230.27000427246094,236.89999389648438,230.13999938964844,235.99000549316406,235.99000549316406,30127000
2021-03-23,237.49000549316406,241.0500030517578,237.07000732421875,237.5800018310547,237.5800018310547,31638400
2021-03-24,237.85000610351562,238.0,235.32000732421875,235.4600067138672,235.4600067138672,25620100
2021-03-25,235.3000030517578,236.94000244140625,231.57000732421875,232.33999633789062,232.33999633789062,34061900
2021-03-26,231.5500030517578,236.7100067138672,231.5500030517578,236.47999572753906,236.47999572753906,25471700
2021-03-29,236.58999633789062,236.8000030517578,231.8800048828125,235.24000549316406,235.24000549316406,25227500
2021-03-30,233.52999877929688,233.85000610351562,231.10000610351562,231.85000610351562,231.85000610351562,24792000
2021-03-31,232.91000366210938,239.10000610351562,232.38999938964844,235.77000427246094,235.77000427246094,43623500
2021-04-01,238.47000122070312,242.83999633789062,238.0500030517578,242.35000610351562,242.35000610351562,30312000
2021-04-05,242.75999450683594,249.9600067138672,242.6999969482422,249.07000732421875,249.07000732421875,36910600
2021-04-06,247.61000061035156,249.39999389648438,246.8800048828125,247.86000061035156,247.86000061035156,22931900
2021-04-07,247.80999755859375,250.92999267578125,247.19000244140625,249.89999389648438,249.89999389648438,22719800
2021-04-08,252.77000427246094,254.13999938964844,252.0,253.25,253.25,23625200
2021-04-09,252.8699951171875,255.99000549316406,252.44000244140625,255.85000610351562,255.85000610351562,24315700
2021-04-12,254.7100067138672,257.6700134277344,254.6199951171875,255.91000366210938,255.91000366210938,27148700
2021-04-13,257.260009765625,259.19000244140625,256.8299865722656,258.489990234375,258.489990234375,23837500
2021-04-14,257.4800109863281,258.8299865722656,255.16000366210938,255.58999633789062,255.58999633789062,23070900
2021-04-15,257.92999267578125,259.92999267578125,257.7300109863281,259.5,259.5,25627500
2021-04-16,259.4700012207031,261.0,257.6000061035156,260.739990234375,260.739990234375,24856900
2021-04-19,260.19000244140625,261.4800109863281,257.82000732421875,258.739990234375,258.739990234375,23209300
2021-04-20,257.82000732421875,260.20001220703125,256.8399963378906,258.260009765625,258.260009765625,19722900
2021-04-21,258.94000244140625,260.67999267578125,257.25,260.5799865722656,260.5799865722656,24009300
